regime,seed,method,pretty_method,state_reuse,parameter_reuse,improvement_vs_cold
stationary,101,Param,Parameter Transfer,0,1,0.41154897266637536
stationary,101,State,State Warm Start,1,0,1.0790139791606073
stationary,101,Combined,Combined,1,1,1.0790139791606073
gradual,201,Param,Parameter Transfer,0,1,0.6959261520591524
gradual,201,State,State Warm Start,1,0,1.1159261520591524
gradual,201,Combined,Combined,1,1,1.1159261520591524
sudden,304,Param,Parameter Transfer,0,1,0.2453063071609154
sudden,304,State,State Warm Start,1,0,1.0724436939084918
sudden,304,Combined,Combined,1,1,-0.46514861612491165
continuous_sudden,401,Param,Parameter Transfer,0,1,0.2423879373206203
continuous_sudden,401,State,State Warm Start,1,0,0.4337925824182943
continuous_sudden,401,Combined,Combined,1,1,0.6599999999999999
