regime,seed,method,snapshot_t,delta,gain_vs_cold
stationary,101,Param,1,0.0,-0.0013368420330234776
stationary,101,State,1,0.0,0.15711018025563694
stationary,101,Combined,1,0.0,0.15711018025563694
stationary,101,Param,2,0.0,-0.014325425458873275
stationary,101,State,2,0.0,0.21891922052408472
stationary,101,Combined,2,0.0,0.21891922052408472
stationary,101,Param,3,0.0,-0.113244645982958
stationary,101,State,3,0.0,0.12
stationary,101,Combined,3,0.0,0.12
stationary,101,Param,4,0.0,-0.21711018025563694
stationary,101,State,4,0.0,0.0
stationary,101,Combined,4,0.0,0.0
stationary,101,Param,5,0.0,-0.18053771667273957
stationary,101,State,5,0.0,0.21657246358289736
stationary,101,Combined,5,0.0,0.21657246358289736
gradual,201,Param,1,0.05790101207497034,0.049025312631360674
gradual,201,State,1,0.05790101207497034,0.11918286704957326
gradual,201,Combined,1,0.05790101207497034,0.11918286704957326
gradual,201,Param,2,0.05497629363283278,0.11251588164708357
gradual,201,State,2,0.05497629363283278,0.14656569710533865
gradual,201,Combined,2,0.05497629363283278,0.14656569710533865
gradual,201,Param,3,0.08371174074969893,0.06
gradual,201,State,3,0.08371174074969893,-0.058940666705864675
gradual,201,Combined,3,0.08371174074969893,-0.058940666705864675
gradual,201,Param,4,0.11750191804047988,0.10968140994297193
gradual,201,State,4,0.11750191804047988,0.16048815619531903
gradual,201,Combined,4,0.11750191804047988,0.16048815619531903
gradual,201,Param,5,0.1200381806720448,-0.008674040362443958
gradual,201,State,5,0.1200381806720448,0.17862597895626664
gradual,201,Combined,5,0.1200381806720448,0.1335348079608501
sudden,304,Param,1,0.028085573104157414,-0.1605719306975824
sudden,304,State,1,0.028085573104157414,0.12
sudden,304,Combined,1,0.028085573104157414,0.07942806930241758
sudden,304,Param,2,0.053390530254520244,0.18
sudden,304,State,2,0.053390530254520244,0.3948156419056434
sudden,304,Combined,2,0.053390530254520244,0.2988873778174208
sudden,304,Param,3,0.09263180802625176,0.0
sudden,304,State,3,0.09263180802625176,0.24
sudden,304,Combined,3,0.09263180802625176,0.24
sudden,304,Param,4,0.15694629941841726,-0.09365286048495602
sudden,304,State,4,0.15694629941841726,0.18
sudden,304,Combined,4,0.15694629941841726,0.08941644850245295
sudden,304,Param,5,0.282055129208904,-0.06086548979504611
sudden,304,State,5,0.282055129208904,-0.0008654897950461093
sudden,304,Combined,5,0.282055129208904,-0.08257183426866593
continuous_sudden,401,Param,1,0.13440064339694965,0.229675437530864
continuous_sudden,401,State,1,0.13440064339694965,0.3932579824505092
continuous_sudden,401,Combined,1,0.13440064339694965,0.3932579824505092
continuous_sudden,401,Param,2,0.21453319464098733,-0.006509342104138061
continuous_sudden,401,State,2,0.21453319464098733,0.23349065789586193
continuous_sudden,401,Combined,2,0.21453319464098733,0.23349065789586193
continuous_sudden,401,Param,3,0.40242814929173465,0.0
continuous_sudden,401,State,3,0.40242814929173465,-0.027629394040135785
continuous_sudden,401,Combined,3,0.40242814929173465,-0.027629394040135785
continuous_sudden,401,Param,4,0.41400832252947756,-0.06
continuous_sudden,401,State,4,0.41400832252947756,0.0
continuous_sudden,401,Combined,4,0.41400832252947756,0.0
continuous_sudden,401,Param,5,0.5798673469423374,0.11999999999999997
continuous_sudden,401,State,5,0.5798673469423374,0.28440242356787343
continuous_sudden,401,Combined,5,0.5798673469423374,0.28440242356787343
