regime,seed,method,lambda_switch,cumulative_switches,cumulative_interference,cumulative_cost
stationary,101,Cold,0.0,7.599999999999999,0.30746500649423186,0.30746500649423186
stationary,101,Combined,0.0,0.0,0.0,0.0
stationary,101,Cold,0.15,3.0,0.21035482623859492,0.6603548262385949
stationary,101,Combined,0.15,0.0,0.0,0.0
stationary,101,Cold,0.3,1.8,0.5390139791606072,1.0790139791606073
stationary,101,Combined,0.3,0.0,0.0,0.0
stationary,101,Cold,0.6,1.5999999999999999,0.870487215532761,1.8304872155327612
stationary,101,Combined,0.6,0.0,0.0,0.0
gradual,201,Cold,0.0,7.799999999999999,0.673284414057253,0.673284414057253
gradual,201,Combined,0.0,0.0,0.18792755652072324,0.18792755652072324
gradual,201,Cold,0.15,2.4000000000000004,0.7347764605412906,1.0947764605412906
gradual,201,Combined,0.15,0.0,0.18792755652072324,0.18792755652072324
gradual,201,Cold,0.3,2.6000000000000005,0.5238537085798758,1.3038537085798756
gradual,201,Combined,0.3,0.0,0.18792755652072324,0.18792755652072324
gradual,201,Cold,0.6,2.6,0.995810661144574,2.555810661144574
gradual,201,Combined,0.6,0.0,0.18792755652072324,0.18792755652072324
sudden,304,Cold,0.0,5.8,0.945360144954392,0.945360144954392
sudden,304,Combined,0.0,6.599999999999999,0.7911616478772234,0.7911616478772234
sudden,304,Cold,0.15,4.800000000000001,0.9938727362450595,1.7138727362450594
sudden,304,Combined,0.15,5.8,0.822961253378888,1.692961253378888
sudden,304,Cold,0.3,3.4,1.0912921923156031,2.111292192315603
sudden,304,Combined,0.3,5.8,0.8364408084405146,2.576440808440515
sudden,304,Cold,0.6,3.1999999999999997,1.8071120424830305,3.7271120424830304
sudden,304,Combined,0.6,4.3999999999999995,0.8850716922328962,3.5250716922328964
