method,snapshot_t,allocation,best_sample_cost,expected_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
Cold,0,0-1-2-0-1,0.0,0.2135570426483832,1.0,0.001953125,8,512,102,112,1.4299697909737006
Cold,1,0-1-2-0-1,0.0,0.5151471356081159,1.0,0.0078125,8,512,96,110,1.4670990830054507
Cold,2,1-1-2-0-1,0.06,0.5153130089823749,1.0,0.01171875,8,512,96,110,1.48536274995422
Cold,3,1-1-2-0-1,0.0,0.5354250295327176,1.0,0.00390625,8,512,96,109,1.5219205830362625
Cold,4,2-1-0-2-1,0.18,0.4663615904238481,1.0,0.013671875,8,512,102,113,1.582832708954811
Param,0,0-1-2-0-1,0.0,0.2135570426483832,1.0,0.001953125,8,512,102,112,1.4299697909737006
Param,1,1-2-0-1-2,0.3,0.4560236232374751,1.0,0.00390625,8,512,96,110,1.5578376250341535
Param,2,0-2-1-0-2,0.18,0.5228152968921207,1.0,0.0078125,8,512,96,110,1.573814790986944
Param,3,0-2-1-0-2,0.0,0.5461520107213603,1.0,0.005859375,8,512,96,109,1.5775657499907538
Param,4,0-2-1-0-2,0.0,0.5117131290269097,1.0,0.005859375,8,512,102,113,1.5637971659889445
State,0,0-1-2-0-1,0.0,0.2135570426483832,1.0,0.001953125,8,512,102,112,1.4299697909737006
State,1,0-1-2-0-1,0.0,0.4573499922576554,1.0,0.021484375,8,512,96,109,1.5928077909629792
State,2,0-1-2-0-1,0.0,0.05214201093082112,1.0,0.83203125,8,512,96,109,1.5648875000188127
State,3,0-1-2-0-1,0.0,0.0023370263101232373,1.0,0.990234375,8,512,96,109,1.5657954579801299
State,4,0-1-2-0-1,0.0,0.012320393698262119,1.0,0.95703125,8,512,102,113,1.5882792089832947
Combined,0,0-1-2-0-1,0.0,0.2135570426483832,1.0,0.001953125,8,512,102,112,1.4299697909737006
Combined,1,0-1-2-0-1,0.0,0.0026838435894586364,1.0,0.9921875,8,512,96,109,1.552961083012633
Combined,2,0-1-2-0-1,0.0,0.0037879670210736486,1.0,0.98046875,8,512,96,109,1.590722250053659
Combined,3,0-1-2-0-1,0.0,0.002734233922087226,1.0,0.98828125,8,512,96,109,1.5854347919812426
Combined,4,0-1-2-0-1,0.0,0.005479250002908287,1.0,0.978515625,8,512,102,113,1.599781750002876
