regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,offline_cost,offline_gap,improvement_vs_cold
stationary,101,Cold,Cold,1.6199999999999997,0.0,5.3999999999999995,0.0,1.6199999999999997,0.0
stationary,101,Param,Parameter Transfer,0.9339916223007323,0.8739916223007322,0.2,0.0,0.9339916223007323,0.6860083776992674
stationary,101,State,State Warm Start,0.9339916223007323,0.8739916223007322,0.2,0.0,0.9339916223007323,0.6860083776992674
stationary,101,Combined,Combined,0.0,0.0,0.0,0.0,0.0,1.6199999999999997
stationary,102,Cold,Cold,1.6199999999999997,0.0,5.3999999999999995,0.0,1.6199999999999997,0.0
stationary,102,Param,Parameter Transfer,0.9339916223007323,0.8739916223007322,0.2,0.0,0.9339916223007323,0.6860083776992674
stationary,102,State,State Warm Start,0.9339916223007323,0.8739916223007322,0.2,0.0,0.9339916223007323,0.6860083776992674
stationary,102,Combined,Combined,0.0,0.0,0.0,0.0,0.0,1.6199999999999997
gradual,201,Cold,Cold,1.744110976947315,0.7241109769473152,3.4000000000000004,0.06675581962951228,1.6773551573178027,0.0
gradual,201,Param,Parameter Transfer,1.473686639770978,0.453686639770978,3.4000000000000004,0.06675581962951228,1.4069308201414656,0.27042433717633707
gradual,201,State,State Warm Start,1.473686639770978,0.453686639770978,3.4000000000000004,0.06675581962951228,1.4069308201414656,0.27042433717633707
gradual,201,Combined,Combined,0.06675581962951228,0.06675581962951228,0.0,0.06675581962951228,0.0,1.6773551573178027
gradual,202,Cold,Cold,0.9600000000000002,0.0,3.2,0.0,0.9600000000000002,0.0
gradual,202,Param,Parameter Transfer,0.6927785942395064,0.2127785942395062,1.5999999999999999,0.0,0.6927785942395064,0.2672214057604938
gradual,202,State,State Warm Start,0.6927785942395064,0.2127785942395062,1.5999999999999999,0.0,0.6927785942395064,0.2672214057604938
gradual,202,Combined,Combined,0.0,0.0,0.0,0.0,0.0,0.9600000000000002
gradual,203,Cold,Cold,1.1396852201245955,0.23968522012459562,3.0,0.0,1.1396852201245955,0.0
gradual,203,Param,Parameter Transfer,0.9038485910804592,0.4838485910804594,1.4,0.0,0.9038485910804592,0.23583662904413627
gradual,203,State,State Warm Start,0.7362527994291362,0.31625279942913626,1.4,0.0,0.7362527994291362,0.40343242069545926
gradual,203,Combined,Combined,0.0,0.0,0.0,0.0,0.0,1.1396852201245955
gradual,204,Cold,Cold,1.5825154518622169,0.382515451862217,4.0,0.07788019602500676,1.50463525583721,0.0
gradual,204,Param,Parameter Transfer,1.0412679403552239,0.8612679403552238,0.6000000000000001,0.07788019602500676,0.9633877443302171,0.541247511506993
gradual,204,State,State Warm Start,1.0412679403552239,0.8612679403552238,0.6000000000000001,0.07788019602500676,0.9633877443302171,0.541247511506993
gradual,204,Combined,Combined,0.07788019602500676,0.07788019602500676,0.0,0.07788019602500676,0.0,1.50463525583721
sudden,301,Cold,Cold,1.7126276525749051,0.39262765257490523,4.4,0.36489204374147116,1.347735608833434,0.0
sudden,301,Param,Parameter Transfer,1.211760710834855,0.43176071083485507,2.6000000000000005,0.36489204374147116,0.8468686670933838,0.5008669417400502
sudden,301,State,State Warm Start,1.1043897405816216,0.5043897405816216,2.0,0.36489204374147116,0.7394976968401505,0.6082379119932835
sudden,301,Combined,Combined,0.43950069986040813,0.37950069986040813,0.2,0.36489204374147116,0.07460865611893697,1.273126952714497
sudden,302,Cold,Cold,1.7947562137688469,0.8947562137688468,3.0000000000000004,0.4087423824174631,1.386013831351384,0.0
sudden,302,Param,Parameter Transfer,1.4013879885554776,1.041387988555478,1.2,0.4087423824174631,0.9926456061380146,0.3933682252133692
sudden,302,State,State Warm Start,1.2753297826411971,0.8553297826411971,1.4,0.4087423824174631,0.866587400223734,0.5194264311276497
sudden,302,Combined,Combined,0.5449856026834469,0.5449856026834469,0.0,0.4087423824174631,0.1362432202659838,1.2497706110853999
sudden,303,Cold,Cold,1.5894991208607474,0.38949912086074745,4.0,0.19440540334228057,1.3950937175184668,0.0
sudden,303,Param,Parameter Transfer,1.1832568706241882,0.7032568706241883,1.5999999999999999,0.19440540334228057,0.9888514672819075,0.40624225023655924
sudden,303,State,State Warm Start,1.1405044695508801,0.7205044695508803,1.4000000000000001,0.19440540334228057,0.9460990662085995,0.44899465130986727
sudden,303,Combined,Combined,0.19440540334228057,0.13440540334228057,0.2,0.19440540334228057,0.0,1.3950937175184668
sudden,304,Cold,Cold,1.792472093147804,0.7724720931478039,3.4000000000000004,0.6404549710423445,1.1520171221054594,0.0
sudden,304,Param,Parameter Transfer,1.4165214439932095,0.9365214439932096,1.6,0.6404549710423445,0.776066472950865,0.37595064915459453
sudden,304,State,State Warm Start,1.4033783433538207,0.8033783433538207,2.0,0.6404549710423445,0.7629233723114762,0.38909374979398326
sudden,304,Combined,Combined,0.741219426963154,0.741219426963154,0.0,0.6404549710423445,0.10076445592080951,1.05125266618465
